Gene_ID	Gene_Name	Rank	PageRank_Score
ENSG00000145907	G3BP1	504	0.00023773493163
ENSG00000088205	DDX18	505	0.000237570692811
ENSG00000123908	AGO2	506	0.000237507582333
ENSG00000159461	AMFR	507	0.000237159021486
ENSG00000157933	SKI	508	0.000237081818754
ENSG00000121966	CXCR4	509	0.000237073853855
ENSG00000104408	EIF3E	510	0.000237012200019
ENSG00000104388	RAB2A	511	0.000236403862564
ENSG00000164163	ABCE1	512	0.000236019264773
ENSG00000162613	FUBP1	513	0.000235780947357
ENSG00000084674	APOB	514	0.000235692695097
ENSG00000113522	RAD50	515	0.000235434184974
ENSG00000186716	BCR	516	0.000235175914891
ENSG00000161405	IKZF3	517	0.000234951373706
ENSG00000182872	RBM10	518	0.000234796141295
ENSG00000179218	CALR	519	0.000234680908714
ENSG00000163877	SNIP1	520	0.000234677218327
ENSG00000123154	WDR83	521	0.0002344924821
ENSG00000118513	MYB	522	0.000234336540853
ENSG00000118705	RPN2	523	0.000234213438588
ENSG00000188603	CLN3	524	0.000233702822133
ENSG00000107404	DVL1	525	0.000232661322227
ENSG00000116062	MSH6	526	0.000232426730886
ENSG00000189403	HMGB1	527	0.000232108765902
ENSG00000182979	MTA1	528	0.000231470811043
ENSG00000132842	AP3B1	529	0.000231416144814
ENSG00000136527	TRA2B	530	0.000231295917172
ENSG00000078043	PIAS2	531	0.000230735269182
ENSG00000146670	CDCA5	532	0.000229938163569
ENSG00000047410	TPR	533	0.000229806466667
ENSG00000109458	GAB1	534	0.000229314831491
ENSG00000148498	PARD3	535	0.000228876754838
ENSG00000077312	SNRPA	536	0.000228843204217
ENSG00000141582	CBX4	537	0.000228820909073
ENSG00000159840	ZYX	538	0.000228819798681
ENSG00000103126	AXIN1	539	0.000228493824496
ENSG00000185559	DLK1	540	0.00022828815306
ENSG00000164885	CDK5	541	0.000228037170448
ENSG00000179950	PUF60	542	0.000227795043966
ENSG00000169446	MMGT1	543	0.000227071674559
ENSG00000205726	ITSN1	544	0.000226873079115
ENSG00000157168	NRG1	545	0.000226782339609
ENSG00000103035	PSMD7	546	0.000226758537249
ENSG00000072958	AP1M1	547	0.000226688475911
ENSG00000177469	PTRF	548	0.000226394558055
ENSG00000007392	LUC7L	549	0.000226365659637
ENSG00000166900	STX3	550	0.000225621343722
ENSG00000168385	SEPT2	551	0.000225567898201
ENSG00000162772	ATF3	552	0.000225461595192
ENSG00000117222	RBBP5	553	0.00022535486272
ENSG00000067715	SYT1	554	0.000225164546868
ENSG00000197111	PCBP2	555	0.00022515237297
ENSG00000185507	IRF7	556	0.000225140523449
ENSG00000013441	CLK1	557	0.000225047090413
ENSG00000140374	ETFA	558	0.000224692036434
ENSG00000055044	NOP58	559	0.000224593668099
ENSG00000162236	STX5	560	0.000224573585867
ENSG00000164118	CEP44	561	0.000223899436864
ENSG00000171703	TCEA2	562	0.000223864366796
